# Dictionnaire de racines pures (fototeny) malgaches pour malagasy-stemmer
# Format: racine\tcatégorie (v=verbe, n=nom, adj=adjectif, adv=adverbe, prep=préposition, pron=pronom, conj=conjonction, num=numéral, misc=divers)
# Les entrées DOIVENT être triées par ordre alphabétique (requis par fst::MapBuilder).
# Sources: Dictionnaire canonique, Kaikki/Wiktionnaire, Rakibolana Malagasy de l'Académie.
antsody	v
antsohara	v
antsojay	v
antsoly	n
antsona	n
antsongoloka	n
antsontsana	adj
antsorina	v
antsoro	n
antsoroka	n
antsorona	v
antsotsany	n
antsuiabato	v
antsvony	n
antsy	n
antsybilalava	n
antsypika	n
any	n
anyanatyharanany	v
anyhoany	adv
ao	misc
aogositra	n
aoka	v
aokaizany	adv
aokalahy	n
aolilolo	n
aolo	adj
aompa	n
aooavo	v
aoriana	adj
aoritsa	misc
aositrisy	n
aostralia	n
aotobosy	n
aotomobila	n
aotra	num
apanapana	n
apipy	misc
apka	n
apoka	n
aprily	n
ara	n
arabe	n
arabendalana	n
arafana	n
arafy	n
arahaba	n
arajafajafo	n
araka	prep
arakaandro	n
arakaraka	n
arakeviny	n
arampandrotra	misc
arampo	n
arapotoana	adj
arara	n
aratra	n
aretimifindra	n
aretina	n
aretintenda	n
ariandro	n
ariary	n
arika	n
arikatra	v
arina	n
arindrano	n
arintany	n
arira	n
aritra	n
arivo	num
arivolahy	n
arkelojia	n
armonia	n
aro	n
aroa	misc
arofanina	n
arofotaka	n
arokatra	v
aronakanjo	n
arosy	n
arovoniny	n
arramadana	n
arsenika	n
artikla	n
ary	adv
arzantina	n
asa	n
asaboratsy	n
asabotsy	n
asaha	v
asaka	n
asaly	v
asamahadinirina	n
asaramanitra	n
asarotro	v
asetilklinina	n
asiana	n
asidra	n
asipirinina	n
asombola	n
asoralahy	n
asoravavy	n
asorotanitsisatry	n
asorotany	n
asorotanytsysatry	n
asy	n
atafa	n
atandry	n
ataoma	n
ataotsyhanompo	v
atapina	misc
atatra	n
ateraka	adj
aterineto	n
atiaty	n
atidoha	n
atikatika	adj
atikitra	v
atiko	misc
atinkavana	n
atipako	n
atiririnina	n
atitatika	n
atitra	v
atitrano	n
ato	n
atoa	v
atodiakanga	n
atodinakanga	n
atodintarina	n
atodintazo	n
atodiomby	n
atodiorokoroka	n
atodiosy	n
atody	n
atoka	n
atokatoka	v
atongilana	v
atopazo	misc
atoy	n
atraka	v
atrana	n
atranatrana	n
atriatry	n
atrika	n
atsangana	v
atsetra	v
atsidradra	v
atsikala	n
atsimo	n
atsipilivaka	n
atsirakaraka	v
atsy	v
aty	n
atyakanjombehivavy	n
ava	misc
avahy	n
avaka	n
avakavaka	n
avana	n
avanavana	n
avantana	n
avany	n
avaotra	n
avapeo	n
avaratra	n
avaratrandrefana	n
avatra	n
avay	n
avelo	n
aviavy	n
avina	n
aviona	n
aviotra	n
avivitra	adj
avo	adj
avokavoka	misc
avoko	n
avokombilahy	n
avoloha	adj
avona	n
avosa	misc
avotra	n
avotrafo	misc
avovona	adj
avrily	n
avy	v
avyhoa	n
ay	misc
aza	v
azafady	misc
azary	n
azo	v
azoampidirina	v
azonny	n
azotsinina	adj
azy	n
ba	n
babaka	n
babakoto	n
babangala	adj
babangoana	adj
babantany	adj
babara	adj
babazo	adj
babo	misc
baboka	n
babontany	n
baby	v
bada	misc
badenina	adj
badera	n
badiga	n
badisa	n
bado	v
badobadony	adj
badony	adj
badra	adj
badrahodra	adj
bafoka	misc
bagasy	n
bahambava	n
bahana	n
baharia	n
bahary	n
baheza	n
baholy	n
baibay	n
baibo	adj
baiboho	n
baiboly	n
baibona	n
baika	n
baiko	n
baikona	n
baikonnymoana	n
bailoka	adj
bainga	n
baingo	adj
baingoka	n
baingy	n
bajina	n
baka	adj
bakaka	n
bakakely	n
bakatraka	n
bakelaka	adj
bakilambilany	n
bakilana	n
bakilandamba	n
bako	adj
bakobakoroa	n
bakoly	n
bakolykitsoloha	n
bakora	adj
bala	n
balady	adj
balahazo	n
balamaso	adj
balamihanta	misc
balana	v
balantony	adj
balaonina	n
balasasatra	n
balaza	n
balelaka	adj
baliaka	adj
balita	n
bamba	adj
bambairay	adj
bana	n
banaika	misc
banaka	misc
banbka	n
bandia	n
bandrina	misc
bandro	n
bandrolahy	n
banga	v
bango	n
bangoa	n
bangoana	n
banjana	n
banjina	n
banjino	misc
banka	n
bankirompitra	n
bankiroty	adj
banky	n
bantsilana	n
banty	misc
bao	n
baodika	n
baolina	n
baolinakitra	n
baondranjo	n
baondy	n
baorina	n
baoritra	n
baoroka	n
baotinina	n
bara	adj
barabahy	misc
baraboka	n
barabosy	adj
baradaka	n
baradondradony	n
baraingo	adj
baraka	n
barakay	n
barakoma	n
baranahiny	n
barandro	n
baranjely	n
barara	n
bararaka	adj
bararata	n
barareoka	n
bararka	n
barera	adj
bareraka	adj
baribarina	adj
baribary	adj
barika	n
barisa	n
baroa	n
barometatra	n
barota	n
bary	adj
baryandro	n
basibasy	n
basirano	n
basivava	adj
basketra	n
baskety	n
basy	n
basykovia	n
basypoleta	n
bata	misc
batanina	n
batavia	n
bateria	n
batery	n
batiry	n
batisa	n
batita	adj
batna	n
batongotra	n
batraka	adj
batritra	adj
batry	adj
bavy	n
be	adj
bebaka	n
beboka	adj
bebonga	adj
beda	v
bedana	n
bedibedy	n
bedika	n
bedohaka	n
bedy	n
befitaika	n
behambehana	n
behana	n
behatoka	misc
behevitra	adj
beheza	n
beholafiny	n
bekira	n
bekotromaroholatra	n
belaka	n
belakara	n
belanjana	n
belemby	n
beloha	adj
bemaimbo	n
bemandomba	n
bemarika	n
bembo	n
bemiorika	n
bemiray	n
bemoty	n
benamboka	adj
benandro	n
benitra	n
benjamina	n
beo	n
beravina	n
beririnina	n
beroberobazaha	n
beroberoka	n
beroka	misc
besavily	n
besisika	n
beso	n
besofina	n
beta	misc
betafoaka	n
betaimparasy	misc
betaly	n
betefaka	n
betenda	adj
betongoa	n
betro	n
betroka	n
betsaka	adj
betsileo	n
betsimiasa	n
betsimihilana	n
betsimisaraka	n
bevohoka	adj
bezanozano	n
bezma	n
bi	n
bibaka	n
bibalahy	n
bibasy	n
bibibiby	adj
bibikely	n
bibilava	n
bibimora	n
bibina	adj
bibindandy	n
bibiolona	n
biby	n
bibymampinono	n
bibymananataolandamosina	n
bibymandady	n
bibytsymananataolandamosina	n
bidezey	n
bidibidy	misc
bifona	n
bihara	n
bihy	n
bija	adj
bika	misc
bikanjavatra	n
bikna	adj
biko	adj
bila	v
bilady	n
bilahy	n
bilaka	adj
bilaotra	misc
bilatra	v
bilitika	n
bina	n
binaka	misc
bingo	adj
bingona	n
bintsy	n
biolojia	n
bira	v
birao	n
birfoka	v
biriky	n
birioka	n
biririoka	n
biritika	n
bisikileta	n
bisikilety	n
bisikitra	n
bisioka	n
bitaka	n
bitika	adj
bitro	n
bitrodia	n
bitsa	n
bitsibitsika	n
bitsiha	n
bitsika	n
bitsoka	n
bizimofo	n
bizizioka	n
bleke	n
bo	n
boada	n
boadaka	n
boafa	n
boaiza	n
boana	n
boaty	n
boba	v
bobaka	misc
bobaky	n
bobanina	v
boboka	n
bobongolo	n
boda	misc
bodaka	misc
bode	n
bodika	v
bodo	n
bodobodony	adj
bodofo	n
bodofotsy	n
boediboedika	n
boeriboerika	n
boerika	n
bofaka	misc
bofika	n
bofoka	n
bofona	adj
bofotra	n
boha	n
bohaka	adj
bohibohy	n
bohihy	adj
bohika	v
bohitra	n
bohy	n
boiboika	n
boika	v
boitra	misc
boka	v
bokaka	n
bokitra	adj
boko	n
bokolona	n
bokony	n
bokotra	n
bokotramamy	n
boktra	adj
boky	n
bola	n
bolaky	n
bolaly	n
bolangina	adj
bolantany	n
bolasitra	n
boletaka	adj
boletaleta	n
bolia	adj
boliaka	misc
bolidy	n
bolila	n
bolisatra	v
bolisatro	n
bolitika	n
bolody	n
bolofotra	v
boloky	n
bolona	adj
bomba	v
bona	n
bonaika	adj
bonaka	n
bonanaka	misc
bonara	n
bonenika	misc
bonetra	n
bonga	n
bongabe	n
bongamaso	n
bongina	n
bongo	n
bongomaso	n
bongombolo	n
bonia	adj
bonibony	n
bonika	n
bonjehitra	n
bonobonoka	n
bonoka	v
bononka	n
bononoka	n
bontana	adj
bontanaka	n
bontna	n
bontolo	adj
bontona	n
bontsibontsina	n
bontsina	v
bony	n
bora	n
boraingina	n
boraingo	v
boraka	n
boraraka	misc
borasaka	n
borataka	adj
borbka	n
boreda	n
boredika	v
borera	misc
boresa	n
boresy	n
boretaka	n
boretiky	n
boriaka	n
boribory	v
boridana	misc
boritika	adj
borna	n
borneo	n
boroaka	n
borobaka	adj
boroboaka	misc
boroboana	n
borobosy	adj
borona	v
bororoaka	misc
borory	n
borosinakanjo	n
borosindoha	n
borosy	n
borotsaka	n
bory	n
bosasaka	misc
bosesika	v
bosibosika	n
bosika	v
bosy	n
bota	adj
botaka	n
botakely	n
botanaka	misc
botetaka	n
botetateta	adj
botina	n
botinaka	n
botitaka	adj
boto	n
botraika	misc
botraro	n
botrefona	adj
botretra	n
botry	n
botsatsaka	adj
botsiaka	adj
boty	adj
boulva	n
bove	misc
bozaka	n
bozakaamanahitra	n
bozenizeny	adj
bozika	n
bozotra	n
bozy	n
braketra	n
broety	n
btdibidy	misc
bti	n
by	adj
daba	n
dababaka	adj
dabaka	misc
dabbka	misc
dabe	adj
dabebaka	adj
dabilio	n
dabo	adj
daboboka	v
dabodaboka	n
dabodela	adj
dabodrano	adj
dabofoka	adj
daboka	n
dabokandro	n
dabolera	n
dada	n
dadabe	n
dadaboka	n
dadafara	n
dadaka	n
dadamanainga	n
dadanaivo	n
dadasika	adj
dadatoa	misc
dadina	n
dafo	n
dagaga	misc
dahalo	n
daholo	adj
daholobe	n
dahy	misc
daika	n
daingidaingy	misc
daingina	n
daka	v
dalaboboka	n
dalaka	v
dalazy	n
dalia	n
dama	v
dananaka	misc
danesaka	misc
danga	v
dangana	misc
dangoro	n
dangy	adj
danidany	adj
danika	n
daninnykibo	n
danoka	misc
dantely	n
danty	n
dany	n
dao	n
daondaona	n
daraboka	misc
dararaka	misc
daresaka	adj
daridary	n
daro	n
daroboka	misc
darodarony	adj
daroka	n
darona	misc
daronambolo	n
darondarona	n
darondarony	n
darony	adj
daroroka	n
dary	adj
dasidasy	n
daty	n
debaka	n
deboka	n
dedaka	adj
dedako	n
deha	n
dehandehana	n
dekona	n
demany	n
demba	v
demodemoka	n
demoka	adj
demokrasia	n
denaka	n
depiote	n
dera	adj
derona	v
deronderombava	n
deronderona	n
deronina	adj
desambra	n
devoly	n
deza	v
di	adj
dia	n
diakona	n
diamanga	n
diamondra	n
diampanjava	n
diankapoka	n
diantsiriry	n
diatsymanina	n
diavolana	adj
diba	adj
dibaka	n
dibera	n
diboka	adj
diby	n
didery	n
didimananjara	misc
didimpanjakana	n
didimpitondrana	misc
didintany	n
didintsokina	n
diditra	n
didy	n
dieny	conj
diera	n
difibaratra	n
difibato	n
difika	n
difisesy	n
difotra	v
dify	n
diha	v
dihina	adj
dihindihina	n
dihy	n
diiotra	n
dika	misc
dikany	n
dikatra	n
dikavilana	n
dikidiky	n
dikina	adv
dikitra	adj
diksionary	n
diky	n
dilana	n
dilatra	n
dilo	adj
diloilo	n
dilotra	n
dimatika	n
dimaty	n
dimbana	adj
dimbasana	v
dimbinantsy	n
dimby	n
diminambatry	n
dimpoana	adj
dimy	num
dimyambinifolo	num
dina	v
dinaka	n
dinasa	n
dindilo	n
dindina	n
dindo	n
dindonivainga	n
dinerina	adj
dingadingana	n
dingana	v
dingidingy	n
dingina	n
dinidinika	n
diniha	n
dinihina	n
dinika	n
dinitra	n
dinta	n
dintamborona	misc
dintanala	n
dintinina	n
dintoana	n
dio	adj
diondiona	misc
diplio	n
diplmasia	n
diploma	n
diplomasia	n
dipoavatra	n
dipoiro	n
direktera	n
diridiry	v
dirotanty	n
disa	v
disaka	adj
diso	v
disofampana	n
disofotoana	adj
disovala	adj
dispansera	n
distrika	n
dite	n
ditinonoka	n
ditra	adj
ditsaka	v
ditsika	misc
ditsikanaditsoka	v
dity	n
diva	n
divay	n
dizidizy	n
dizina	adj
dizldizy	misc
dlbidiby	adj
do	misc
